"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Filip1l2",0.00632205472039748,0.942789758033555,0.651,0.583,1,"8","Filip1l"
"Zkscan3",0.00633127774558677,1.43674417913123,0.256,0.131,1,"8","Zkscan3"
"Ckb2",0.00638171781155871,0.304910702573602,0.767,0.656,1,"8","Ckb"
"Elob3",0.00646670908032547,0.400219464455706,0.86,0.751,1,"8","Elob"
"Rictor",0.00660956696531678,0.994487800794552,0.326,0.18,1,"8","Rictor"
"Ankrd11",0.00664474263901553,0.777091230346558,0.651,0.509,1,"8","Ankrd11"
"4833439L19Rik2",0.00665052473839048,0.859620827844078,0.395,0.236,1,"8","4833439L19Rik"
"Rab182",0.00668041354679785,0.923601013646304,0.581,0.452,1,"8","Rab18"
"Araf",0.0067191418343112,1.08163081016172,0.349,0.198,1,"8","Araf"
"Ndfip13",0.0067309087826291,0.561480857085097,0.744,0.618,1,"8","Ndfip1"
"Nelfb",0.00680046026596978,1.23984593830405,0.256,0.126,1,"8","Nelfb"
"Gpi12",0.0068057333141376,0.812337884670849,0.558,0.437,1,"8","Gpi1"
"Chuk1",0.00681606689345431,1.07785723911126,0.279,0.141,1,"8","Chuk"
"Naa383",0.00687478485472287,1.04628462957413,0.442,0.274,1,"8","Naa38"
"Arpc41",0.00698823489537382,0.623366982037271,0.512,0.351,1,"8","Arpc4"
"Selenof3",0.00702026875384075,0.638085601816826,0.814,0.771,1,"8","Selenof"
"Soat1",0.00707852041839306,1.38948635083497,0.279,0.146,1,"8","Soat1"
"Tmem1471",0.00711166532070283,1.19828852290201,0.395,0.256,1,"8","Tmem147"
"Gabarapl24",0.00723826164225271,0.780372765565386,0.558,0.403,1,"8","Gabarapl2"
"Map1lc3b2",0.00724284968549474,0.587410442142754,0.814,0.747,1,"8","Map1lc3b"
"Esf12",0.00725727370986271,1.13210623371862,0.372,0.228,1,"8","Esf1"
"Zmat23",0.00734623618763273,1.27987563862185,0.442,0.285,1,"8","Zmat2"
"Flnc1",0.00740800017958054,0.79082404642511,0.419,0.26,1,"8","Flnc"
"Fam98b",0.00750966580860141,1.36213967843128,0.326,0.192,1,"8","Fam98b"
"Sypl1",0.00755095775797635,0.907999500222919,0.465,0.329,1,"8","Sypl"
"Txndc151",0.00756227999129141,0.862311249784815,0.419,0.276,1,"8","Txndc15"
"Trappc51",0.00764237575320656,1.19205945002036,0.279,0.148,1,"8","Trappc5"
"Zmynd111",0.0077027850407512,0.709308810551648,0.535,0.392,1,"8","Zmynd11"
"Acadsb1",0.00773080366142865,0.817666328376774,0.558,0.405,1,"8","Acadsb"
"Erc1",0.00778941120527674,1.17405149241625,0.256,0.131,1,"8","Erc1"
"Pofut22",0.00783194754968294,0.827015771658327,0.512,0.378,1,"8","Pofut2"
"Herc21",0.00805667635035153,1.00517277991657,0.442,0.304,1,"8","Herc2"
"Runx1t12",0.00806647625719339,1.01161334501277,0.349,0.204,1,"8","Runx1t1"
"Cwf19l23",0.00807353680969976,1.13987777497018,0.395,0.264,1,"8","Cwf19l2"
"Cdc402",0.00817698891849561,1.17178257973759,0.349,0.205,1,"8","Cdc40"
"Zcchc171",0.00822252846002607,0.999851726902951,0.349,0.204,1,"8","Zcchc17"
"Reck1",0.00833746942412537,1.06811460351992,0.395,0.251,1,"8","Reck"
"Rad21",0.00836676264135466,0.870093936337019,0.442,0.284,1,"8","Rad21"
"Ddx27",0.00841019311000743,1.29681524122709,0.256,0.126,1,"8","Ddx27"
"mt-Nd53",0.00853845023413227,0.392588110580859,0.907,0.779,1,"8","mt-Nd5"
"Scand15",0.00867191016790663,0.835248086385697,0.651,0.536,1,"8","Scand1"
"Atp5l3",0.0086808807240832,1.07678663662744,0.488,0.35,1,"8","Atp5l"
"Ddx6",0.00868393296746449,0.83105593303923,0.605,0.476,1,"8","Ddx6"
"Larp4",0.00878567585998287,0.837545815666678,0.395,0.24,1,"8","Larp4"
"Hmgn5",0.00888861313081207,1.18288833044943,0.279,0.146,1,"8","Hmgn5"
"Zfp2071",0.00897429906065192,0.836012639813408,0.442,0.282,1,"8","Zfp207"
"Smim201",0.00899713238206781,1.4792488966114,0.256,0.137,1,"8","Smim20"
